id,Year,CrimeType,AssaultType,Sex,Count
377,2015,Robbery,N/A,Female,135
378,2019,Assault,Resisting Arrest,Female,1
379,2020,Assault,Other,Unknown,2
380,2022,Sexual Violation,N/A,Female,62
381,2017,Robbery,N/A,Male,750
382,2021,Sexual Violation,N/A,Male,46
383,2021,Other,N/A,Female,45
384,2023,Assault,Other,Male,1106
385,2022,Sexual Violation,N/A,Male,57
386,2017,Robbery,N/A,Female,6
387,2022,Assault,Assault on a Peace Officer,Female,11
388,2022,Other,N/A,Male,168
389,2017,Assault,Resisting Arrest,Female,4
390,2016,Assault,Assault on a Peace Officer,Male,33
391,2021,Assault,Other,Unknown,5
392,2023,Assault,Assault on a Peace Officer,Male,79
393,2015,Robbery,N/A,Male,16
394,2018,Other,N/A,Male,321
395,2018,Assault,Assaulting a Peace Officer with a Weapon,Male,25
396,2020,Assault,Resisting Arrest,Female,5
397,2020,Assault,Other,Female,2234
398,2015,Robbery,N/A,Male,29
399,2020,Sexual Violation,N/A,Male,15
400,2018,Assault,Assault on a Peace Officer,Unknown,1
401,2023,Other,N/A,Male,219
402,2022,Robbery,N/A,Male,255
403,2015,Assault,Other,Male,335
404,2016,Assault,Other,Male,1326
405,2020,Assault,Assaulting a Peace Officer with a Weapon,Male,9
406,2022,Robbery,N/A,Male,227
407,2021,Assault,Resisting Arrest,Male,15
408,2021,Robbery,N/A,Male,198
409,2014,Assault,Resisting Arrest,Female,1
410,2019,Robbery,N/A,Female,89
411,2019,Assault,Other,Male,224
412,2019,Assault,Assaulting a Peace Officer with a Weapon,Male,1
413,2015,Sexual Violation,N/A,Female,33
414,2018,Other,N/A,Female,79
415,2016,Other,N/A,Unknown,1
416,2015,Sexual Violation,N/A,Female,180
417,2022,Other,N/A,Female,53
418,2020,Assault,Assault on a Peace Officer,Male,25
419,2015,Other,N/A,Male,170
420,2018,Other,N/A,Male,388
421,2022,Sexual Violation,N/A,Female,576
422,2014,Assault,Resisting Arrest,Male,35
423,2023,Robbery,N/A,Female,94
424,2015,Assault,Other,Male,1215
425,2017,Robbery,N/A,Male,243
426,2019,Assault,Other,Female,128
427,2018,Robbery,N/A,Male,715
428,2021,Assault,Assault on a Peace Officer,Female,1
429,2022,Robbery,N/A,Unknown,1
430,2015,Assault,Resisting Arrest,Male,86
431,2020,Assault,Other,Unknown,2
432,2015,Robbery,N/A,Female,78
433,2018,Sexual Violation,N/A,Female,215
434,2022,Assault,Other,Male,334
435,2023,Assault,Resisting Arrest,Female,5
436,2022,Assault,Other,Unknown,22
437,2015,Assault,Other,Female,438
438,2022,Sexual Violation,N/A,Male,7
439,2015,Assault,Resisting Arrest,Female,4
440,2016,Sexual Violation,N/A,Male,6
441,2020,Assault,Other,Male,183
442,2017,Robbery,N/A,Female,117
443,2019,Sexual Violation,N/A,Female,130
444,2019,Assault,Other,Unknown,1
445,2020,Assault,Assaulting a Peace Officer with a Weapon,Unknown,2
446,2016,Assault,Other,Unknown,1
447,2016,Assault,Other,Male,1250
448,2021,Assault,Assault on a Peace Officer,Male,29
449,2015,Sexual Violation,N/A,Female,35
450,2023,Other,N/A,Male,78
451,2023,Assault,Resisting Arrest,Male,37
452,2021,Robbery,N/A,Female,65
453,2015,Sexual Violation,N/A,Female,113
454,2023,Sexual Violation,N/A,Female,134
455,2019,Sexual Violation,N/A,Male,114
456,2018,Sexual Violation,N/A,Male,53
457,2016,Assault,Other,Male,1857
458,2016,Assault,Resisting Arrest,Unknown,2
459,2020,Robbery,N/A,Male,138
460,2017,Assault,Assault on a Peace Officer,Male,52
461,2021,Assault,Assaulting a Peace Officer with a Weapon,Male,3
462,2019,Other,N/A,Male,82
463,2017,Assault,Resisting Arrest,Male,27
464,2015,Assault,Assault on a Peace Officer,Male,1
465,2015,Robbery,N/A,Female,10
466,2019,Assault,Assaulting a Peace Officer with a Weapon,Female,2
467,2019,Assault,Other,Male,1360
468,2018,Assault,Assault on a Peace Officer,Male,4
469,2016,Robbery,N/A,Female,41
470,2020,Assault,Other,Male,1925
471,2015,Assault,Assault on a Peace Officer,Male,10
472,2018,Assault,Other,Female,1512
473,2022,Assault,Other,Unknown,4
474,2023,Assault,Assault on a Peace Officer,Female,2
475,2014,Assault,Resisting Arrest,Male,33
476,2014,Other,N/A,Female,83
477,2021,Assault,Resisting Arrest,Female,1
478,2016,Assault,Other,Female,366
479,2018,Assault,Other,Unknown,2
480,2015,Assault,Aggravated Assault on a Peace Officer,Female,1
481,2022,Other,N/A,Unknown,2
482,2022,Assault,Assaulting a Peace Officer with a Weapon,Female,15
483,2017,Robbery,N/A,Female,81
484,2016,Assault,Resisting Arrest,Female,9
485,2019,Assault,Assault on a Peace Officer,Male,331
486,2020,Assault,Aggravated Assault on a Peace Officer,Male,1
487,2022,Other,N/A,Male,319
488,2016,Assault,Assaulting a Peace Officer with a Weapon,Male,5
489,2020,Other,N/A,Female,68
490,2015,Sexual Violation,N/A,Male,22
491,2021,Other,N/A,Male,199
492,2019,Assault,Other,Female,2300
493,2020,Other,N/A,Female,128
494,2019,Sexual Violation,N/A,Male,6
495,2021,Assault,Other,Female,1000
496,2015,Robbery,N/A,Male,94
497,2020,Assault,Other,Male,287
498,2021,Assault,Assault on a Peace Officer,Female,1
499,2023,Assault,Other,Male,1750
500,2019,Robbery,N/A,Female,56
501,2014,Assault,Other,Male,1183
502,2019,Assault,Other,Female,309
503,2020,Robbery,N/A,Female,138
504,2016,Assault,Other,Female,575
505,2021,Other,N/A,Male,44
506,2015,Assault,Assault on a Peace Officer,Female,74
507,2019,Assault,Assault on a Peace Officer,Unknown,11
508,2023,Other,N/A,Female,485
509,2016,Sexual Violation,N/A,Female,100
510,2021,Other,N/A,Male,315
511,2020,Sexual Violation,N/A,Female,207
512,2020,Sexual Violation,N/A,Male,28
513,2017,Assault,Other,Male,393
514,2020,Assault,Assaulting a Peace Officer with a Weapon,Male,2
515,2018,Assault,Resisting Arrest,Male,77
516,2016,Assault,Assault on a Peace Officer,Male,5
517,2018,Sexual Violation,N/A,Unknown,1
518,2022,Sexual Violation,N/A,Unknown,1
519,2021,Assault,Other,Male,133
520,2018,Other,N/A,Male,148
521,2016,Other,N/A,Unknown,1
522,2017,Assault,Other,Female,369
523,2017,Assault,Assault on a Peace Officer,Male,301
524,2020,Other,N/A,Unknown,4
525,2021,Assault,Assault on a Peace Officer,Male,44
526,2014,Other,N/A,Female,194
527,2022,Assault,Other,Female,238
528,2014,Robbery,N/A,Female,61
529,2017,Assault,Other,Female,1419
530,2014,Sexual Violation,N/A,Female,243
531,2014,Sexual Violation,N/A,Male,13
532,2018,Assault,Assaulting a Peace Officer with a Weapon,Male,2
533,2023,Assault,Resisting Arrest,Male,47
534,2023,Assault,Assaulting a Peace Officer with a Weapon,Male,8
535,2022,Other,N/A,Unknown,1
536,2018,Assault,Assaulting a Peace Officer with a Weapon,Male,6
537,2019,Assault,Other,Unknown,2
538,2016,Sexual Violation,N/A,Male,15
539,2016,Robbery,N/A,Female,11
540,2016,Other,N/A,Male,147
541,2019,Other,N/A,Female,275
542,2014,Other,N/A,Male,219
543,2019,Assault,Resisting Arrest,Unknown,2
544,2017,Other,N/A,Female,101
